,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lebu,-37.6167,-73.65,55.8,87,0,6.08,CL,1615682403
1,Bluff,-46.6,168.3333,73.0,44,62,15.01,NZ,1615682667
2,Rikitea,-23.1203,-134.9692,80.51,73,37,8.7,PF,1615682667
3,Jacksonville Beach,30.2947,-81.3931,71.6,60,1,10.36,US,1615682668
4,Tiksi,71.6872,128.8694,-0.08,88,100,6.13,RU,1615682668
5,Butaritari,3.0707,172.7902,80.8,79,92,10.83,KI,1615682668
6,Hermanus,-34.4187,19.2345,64.99,94,97,1.01,ZA,1615682669
7,Juneau,58.3019,-134.4197,19.99,73,100,7.43,US,1615682669
8,Kruisfontein,-34.0033,24.7314,66.99,87,89,1.01,ZA,1615682669
9,Oranjemund,-28.55,16.4333,65.53,84,26,6.02,NA,1615682670
10,Nikolskoye,59.7035,30.7861,36.0,87,75,6.71,RU,1615682670
11,Hong Kong,22.2855,114.1577,70.0,81,72,4.0,HK,1615682670
12,Valparaíso,-33.0393,-71.6273,60.8,82,75,6.91,CL,1615682519
13,Boa Vista,2.8197,-60.6733,78.8,78,20,3.44,BR,1615682671
14,Marzuq,14.4,46.4667,57.6,33,0,4.14,YE,1615682671
15,Provideniya,64.3833,-173.3,22.57,94,100,28.61,RU,1615682671
16,Port Alfred,-33.5906,26.891,72.0,79,79,5.01,ZA,1615682672
17,Mount Isa,-20.7333,139.5,86.0,51,0,12.66,AU,1615682672
18,Puerto Gaitán,4.3133,-72.0816,83.44,57,100,6.64,CO,1615682443
19,Savonlinna,61.8699,28.88,32.0,100,90,6.91,FI,1615682673
20,Itoman,26.1247,127.6694,68.0,60,75,5.75,JP,1615682673
21,Ushuaia,-54.8,-68.3,42.8,65,75,23.02,AR,1615682402
22,Akola,20.7333,77.0,72.39,33,0,5.03,IN,1615682673
23,Monrovia,6.3005,-10.7969,77.0,94,75,7.92,LR,1615682674
24,Saint Paul Harbor,57.79,-152.4072,35.6,20,1,13.8,US,1615682674
25,Torbay,47.6666,-52.7314,32.0,86,90,18.41,CA,1615682674
26,Malbork,54.0359,19.0266,39.99,100,19,14.16,PL,1615682485
27,Moussoro,13.6408,16.4901,82.56,11,0,8.34,TD,1615682675
28,Périgueux,45.1833,0.7167,42.01,91,73,8.43,FR,1615682675
29,New Norfolk,-42.7826,147.0587,59.0,35,0,8.01,AU,1615682676
30,Impfondo,1.6381,18.0667,73.29,84,100,2.73,CG,1615682676
31,Buta,2.7858,24.73,70.88,99,100,0.72,CD,1615682676
32,Yellowknife,62.456,-114.3525,0.0,71,90,4.61,CA,1615682676
33,Yarim,14.298,44.3779,53.28,51,0,0.85,YE,1615682677
34,Bonthe,7.5264,-12.505,79.14,82,100,9.01,SL,1615682677
35,Dikson,73.5069,80.5464,-22.09,97,100,16.02,RU,1615682678
36,Hithadhoo,-0.6,73.0833,84.13,66,36,9.04,MV,1615682678
37,Punta Arenas,-53.15,-70.9167,48.0,53,40,12.66,CL,1615682678
38,College,64.8569,-147.8028,10.99,40,1,2.51,US,1615682679
39,Tuktoyaktuk,69.4541,-133.0374,-9.4,84,90,4.61,CA,1615682679
