,city,lat,lng,max_temp,humidity,cloudiness,windspeed
0,Port Alfred,-33.5906,26.891,18.89,95,68,2.24
1,San Quintín,30.4833,-115.95,12.53,75,4,3.01
2,Kavaratti,10.5669,72.642,28.36,71,47,3.14
3,Lakes Entrance,-37.8811,147.981,21.67,71,75,1.79
4,Busselton,-33.65,115.3333,23.33,83,100,0.89
5,Nome,64.5011,-165.4064,-28.0,69,75,1.29
6,Sirte,31.2089,16.5887,15.75,80,100,5.83
7,Saint-François,46.4154,3.9054,10.0,66,90,4.12
8,East London,-33.0153,27.9116,23.0,68,0,4.63
9,Mataura,-46.1927,168.8643,13.33,62,59,2.24
10,Kartaly,53.0522,60.6467,-14.82,92,100,6.14
11,Launceston,-41.45,147.1667,23.89,43,3,5.66
12,Villa Carlos Paz,-31.4241,-64.4978,24.44,87,93,0.89
13,Rikitea,-23.1203,-134.9692,26.13,74,55,9.05
14,Dikson,73.5069,80.5464,-23.61,90,100,9.68
15,Skjervøy,70.0311,20.9714,-11.0,62,0,6.69
16,Ushuaia,-54.8,-68.3,5.0,75,75,16.46
17,Yellowknife,62.456,-114.3525,-25.56,84,1,1.54
18,Kyshtovka,56.555,76.6271,-7.12,95,100,7.7
19,Deputatsky,69.3,139.9,-19.6,91,100,4.27
20,Atuona,-9.8,-139.0333,26.36,70,69,6.65
21,Butaritari,3.0707,172.7902,27.57,76,29,4.59
22,Bethel,41.3712,-73.414,6.0,75,90,1.54
23,Christchurch,-43.5333,172.6333,15.56,63,20,5.66
24,Albany,42.6001,-73.9662,6.11,81,75,5.14
25,Chul'man,56.8479,124.9104,-6.58,90,97,4.44
26,Vaini,-21.2,-175.2,25.0,78,40,3.09
27,Atasū,48.6814,71.6433,-2.09,97,83,13.92
28,Lebu,-37.6167,-73.65,12.7,87,0,2.39
29,Hobart,-42.8794,147.3294,20.0,64,78,6.69
30,Thompson,55.7435,-97.8558,-17.0,71,90,5.66
31,Hofn,64.2539,-15.2082,2.77,77,70,4.91
